secid,symbol,exchange,exchangecode,sourceexchange,securitytype
724544473,QQQID-DEC18,EDM,1013524,EDMF05,600
724544474,RADID-MAR18,EDM,1013525,EDMF05,600
724544476,RADID-JUN18,EDM,1013526,EDMF05,600
724544477,RADID-SEP18,EDM,1013527,EDMF05,600
724544478,RADID-DEC18,EDM,1013528,EDMF05,600
724544479,REAID-MAR18,EDM,1013532,EDMF05,600
724544481,REAID-JUN18,EDM,1013533,EDMF05,600
724544482,REAID-SEP18,EDM,1013534,EDMF05,600
724544483,GRPQ-JUN18,EDM,1010662,EDMF02,605
724544484,GRPQ-SEP18,EDM,1010663,EDMF02,605
724544485,GRPQ-DEC18,EDM,1010664,EDMF02,605
724544486,RFGQ-MAR18,EDM,1010668,EDMF02,605
724544488,RFGQ-JUN18,EDM,1010669,EDMF02,605
724544489,RFGQ-SEP18,EDM,1010670,EDMF02,605
724544490,RFGQ-DEC18,EDM,1010671,EDMF02,605
724544491,AVVQ-MAR18,EDM,1010675,EDMF02,605
724544493,AVVQ-JUN18,EDM,1010676,EDMF02,605
724544494,AVVQ-SEP18,EDM,1010677,EDMF02,605
724544495,AVVQ-DEC18,EDM,1010678,EDMF02,605
724544496,EPPQ-MAR18,EDM,1010682,EDMF02,605
724544498,EPPQ-JUN18,EDM,1010683,EDMF02,605
724544499,EPPQ-SEP18,EDM,1010684,EDMF02,605
724544500,EPPQ-DEC18,EDM,1010685,EDMF02,605
724544501,ACLS-MAR18,EDM,1010689,EDMF02,605
724544503,ACLS-JUN18,EDM,1010690,EDMF02,605
724544504,ACLS-SEP18,EDM,1010691,EDMF02,605
724544505,ACLS-DEC18,EDM,1010692,EDMF02,605
724544506,ANGS-MAR18,EDM,1010696,EDMF02,605
724544508,ANGS-JUN18,EDM,1010697,EDMF02,605
724544509,ANGS-SEP18,EDM,1010698,EDMF02,605
724544510,ANGS-DEC18,EDM,1010699,EDMF02,605
724544511,GFIS-MAR18,EDM,1010703,EDMF02,605
724544513,GFIS-JUN18,EDM,1010704,EDMF02,605
724544514,GFIS-SEP18,EDM,1010705,EDMF02,605
724544515,GFIS-DEC18,EDM,1010706,EDMF02,605
724544516,ARIS-MAR18,EDM,1010710,EDMF02,605
724544518,ARIS-JUN18,EDM,1010711,EDMF02,605
724544519,ARIS-SEP18,EDM,1010712,EDMF02,605
724544520,ARIS-DEC18,EDM,1010713,EDMF02,605
724544521,KIOS-MAR18,EDM,1010717,EDMF02,605
724544523,KIOS-JUN18,EDM,1010718,EDMF02,605
724544524,KIOS-SEP18,EDM,1010719,EDMF02,605
724544525,KIOS-DEC18,EDM,1010720,EDMF02,605
724544526,REMS-MAR18,EDM,1010724,EDMF02,605
724544528,REMS-JUN18,EDM,1010725,EDMF02,605
724544529,REMS-SEP18,EDM,1010726,EDMF02,605
724544530,REMS-DEC18,EDM,1010727,EDMF02,605
724544531,AMSS-MAR18,EDM,1010731,EDMF02,605
724544533,AMSS-JUN18,EDM,1010732,EDMF02,605
724544534,AMSS-SEP18,EDM,1010733,EDMF02,605
724544535,AMSS-DEC18,EDM,1010734,EDMF02,605
724544536,HARS-MAR18,EDM,1010738,EDMF02,605
724544538,HARS-JUN18,EDM,1010739,EDMF02,605
724544539,HARS-SEP18,EDM,1010740,EDMF02,605
724544540,HARS-DEC18,EDM,1010741,EDMF02,605
724544541,INLS-MAR18,EDM,1010745,EDMF02,605
724544543,INLS-JUN18,EDM,1010746,EDMF02,605
724544544,INLS-SEP18,EDM,1010747,EDMF02,605
724544545,INLS-DEC18,EDM,1010748,EDMF02,605
724544546,INPS-MAR18,EDM,1010752,EDMF02,605
724544548,INPS-JUN18,EDM,1010753,EDMF02,605
724544549,INPS-SEP18,EDM,1010754,EDMF02,605
724544550,INPS-DEC18,EDM,1010755,EDMF02,605
724544551,MNDS-MAR18,EDM,1010759,EDMF02,605
724544553,MNDS-JUN18,EDM,1010760,EDMF02,605
724544554,MNDS-SEP18,EDM,1010761,EDMF02,605
724544555,MNDS-DEC18,EDM,1010762,EDMF02,605
724544556,MNPS-MAR18,EDM,1010766,EDMF02,605
724544558,MNPS-JUN18,EDM,1010767,EDMF02,605
724544559,MNPS-SEP18,EDM,1010768,EDMF02,605
724544560,MNPS-DEC18,EDM,1010769,EDMF02,605
724544561,SLMS-MAR18,EDM,1010773,EDMF02,605
724544563,SLMS-JUN18,EDM,1010774,EDMF02,605
724544564,SLMS-SEP18,EDM,1010775,EDMF02,605
724544565,SLMS-DEC18,EDM,1010776,EDMF02,605
724544566,TBSS-MAR18,EDM,1010780,EDMF02,605
724544568,TBSS-JUN18,EDM,1010781,EDMF02,605
724544569,TBSS-SEP18,EDM,1010782,EDMF02,605
724544570,TBSS-DEC18,EDM,1010783,EDMF02,605
724544571,TRUS-MAR18,EDM,1010787,EDMF02,605
724544573,TRUS-JUN18,EDM,1010788,EDMF02,605
724544574,TRUS-SEP18,EDM,1010789,EDMF02,605
724544575,TRUS-DEC18,EDM,1010790,EDMF02,605
724544576,TFGS-MAR18,EDM,1010794,EDMF02,605
724544578,TFGS-JUN18,EDM,1010795,EDMF02,605
724544579,TFGS-SEP18,EDM,1010796,EDMF02,605
724544580,TFGS-DEC18,EDM,1010797,EDMF02,605
724544581,IPLS-MAR18,EDM,1010801,EDMF02,605
724544583,IPLS-JUN18,EDM,1010802,EDMF02,605
724544584,IPLS-SEP18,EDM,1010803,EDMF02,605
724544585,IPLS-DEC18,EDM,1010804,EDMF02,605
724544586,TKGS-MAR18,EDM,1010808,EDMF02,605
724544588,TKGS-JUN18,EDM,1010809,EDMF02,605
724544589,TKGS-SEP18,EDM,1010810,EDMF02,605
724544590,TKGS-DEC18,EDM,1010811,EDMF02,605
724544591,RMHS-MAR18,EDM,1010815,EDMF02,605
724544593,RMHS-JUN18,EDM,1010816,EDMF02,605
724544594,RMHS-SEP18,EDM,1010817,EDMF02,605
724544595,RMHS-DEC18,EDM,1010818,EDMF02,605
724544596,AVIS-MAR18,EDM,1010822,EDMF02,605
724544598,AVIS-JUN18,EDM,1010823,EDMF02,605
724544599,AVIS-SEP18,EDM,1010824,EDMF02,605
724544600,AVIS-DEC18,EDM,1010825,EDMF02,605
724544601,LHCS-MAR18,EDM,1010829,EDMF02,605
724544603,LHCS-JUN18,EDM,1010830,EDMF02,605
724544604,LHCS-SEP18,EDM,1010831,EDMF02,605
724544605,LHCS-DEC18,EDM,1010832,EDMF02,605
724544606,NTCS-MAR18,EDM,1010836,EDMF02,605
724544608,NTCS-JUN18,EDM,1010837,EDMF02,605
724544609,NTCS-SEP18,EDM,1010838,EDMF02,605
724544610,NTCS-DEC18,EDM,1010839,EDMF02,605
724544611,SPPS-MAR18,EDM,1010843,EDMF02,605
724544613,SPPS-JUN18,EDM,1010844,EDMF02,605
724544614,SPPS-SEP18,EDM,1010845,EDMF02,605
