secid,symbol,exchange,exchangecode,sourceexchange,securitytype
927667063,LHN,NAM,71996,ZA11,100
2133506542,TBSIHC,JSE,69190,ZA04,107
2133003877,AME,JSE,2253,ZA03,100
2133004205,ZCI,JSE,96,ZA03,100
2133505779,BID,JSE,59560,ZA01,100
2133506252,ECSP18,JSE,65226,ZA02,200
2133004533,NEWFSA,JSE,12706,ZA06,112
2133506580,OMLSBH,JSE,70099,ZA04,107
2133505962,ZA109,JSE,60384,ZA04,107
2133506908,DBNPAJ,JSE,72153,ZA04,186
2133003770,HCI,JSE,220,ZA02,100
2133500797,DLT,JSE,33111,ZA02,100
2133003480,VMK,JSE,7306,ZA03,100
2133500179,TSH,JSE,1430,ZA02,100
927667032,CMB,NAM,56419,ZA11,100
2133004792,LHC,JSE,14071,ZA01,100
927666887,BVN,NAM,13645,ZA11,100
2133004174,RLF,JSE,9877,ZA03,100
2133505275,SGI003,JSE,53100,ZA04,107
2133504657,QFH,JSE,45811,ZA03,100
2133506549,ANGSBB,JSE,69363,ZA04,107
2133500110,MAPPSP,JSE,14778,ZA06,112
2133003739,OCT,JSE,1370,ZA02,100
2133004685,BVT,JSE,1294,ZA01,100
2133505313,ADE,JSE,52603,ZA04,400
2133506259,DCP,JSE,64379,ZA02,100
2133506732,HET,JSE,70781,ZA03,100
2133003594,KR,JSE,174,ZA02,1000
2133004540,NED,JSE,201,ZA01,100
2133506587,SPIB15,JSE,70469,ZA04,107
2133004723,AFT,JSE,8944,ZA03,100
2133500476,NEWPLT,JSE,21365,ZA06,400
2133505824,UBTOMA,JSE,60587,ZA04,107
2133003632,ART,JSE,1752,ZA03,100
2133505206,ERN,JSE,41519,ZA03,100
2133504916,ENX,JSE,9396,ZA02,100
2133504298,LPEGB2,JSE,45041,ZA04,107
2133503680,PREFTX,JSE,22320,ZA06,112
927667039,CGP,NAM,35829,ZA11,100
2133506518,SXEIIC,JSE,68563,ZA04,107
927666894,NAM,NAM,2510,ZA11,100
2133004181,AVI,JSE,304,ZA02,100
2133505282,FRPT01,JSE,53178,ZA04,400
2133506228,BVTIHC,JSE,64289,ZA04,107
2133505465,ESPIB4,JSE,57210,ZA04,107
2133003746,AFEP,JSE,1017,ZA02,200
2133506266,CFRIHF,JSE,65606,ZA04,107
2133506739,DSYSBP,JSE,71636,ZA04,108
2133003601,SOH,JSE,9566,ZA03,100
2133004547,RMH,JSE,1595,ZA01,100
2133506594,MTNSBE,JSE,70529,ZA04,107
2133502192,MDI,JSE,33005,ZA03,100
2133506922,RDFSTH,JSE,72581,ZA04,107
2133003784,MIX,JSE,10557,ZA02,100
2133505358,ZA094,JSE,53803,ZA04,107
2133503321,NGPLT,JSE,36461,ZA06,112
2133003677,ITE,JSE,412,ZA02,100
2133503359,GRTIVE,JSE,37128,ZA04,107
2133004623,SHP,JSE,780,ZA01,100
2133506197,EPP,JSE,62192,ZA02,100
2133504633,LBCP13,JSE,47056,ZA04,107
2133506525,ZA114,JSE,67386,ZA04,107
2133504015,SAR,JSE,41876,ZA03,100
927666901,TRW,NAM,2538,ZA12,100
2133003715,TPC,JSE,682,ZA03,100
2133004661,REM,JSE,3167,ZA01,100
2133506235,LPBCP1,JSE,33888,ZA04,107
2133504198,ECS,JSE,4800,ZA03,100
2133504671,ESPIBI,JSE,47265,ZA04,108
2133506090,ECSP15,JSE,62780,ZA02,200
2133506563,BILIHC,JSE,69911,ZA04,107
2133004226,CULP,JSE,1042,ZA02,200
2133503435,RCL,JSE,1201,ZA02,100
2133505327,NBELN3,JSE,54164,ZA04,107
2133505800,ZA105,JSE,59178,ZA04,107
2133506746,TFGSBP,JSE,71653,ZA04,108
2133004882,CLR,JSE,14652,ZA02,100
2133504091,AVL,JSE,42420,ZA03,100
2133500162,SBAWHT,JSE,15201,ZA06,400
2133505510,NRL,JSE,57541,ZA03,100
2133506929,BLUSBA,JSE,72634,ZA04,107
2133003791,STXDIV,JSE,10340,ZA06,112
2133004737,MND,JSE,10018,ZA01,100
2133500490,IPFIVB,JSE,29595,ZA04,107
2133506311,MLD,JSE,65521,ZA03,100
2133004119,NT1,JSE,12492,ZA03,100
2133504274,ESPIBH,JSE,44813,ZA04,107
2133502565,ITU,JSE,2660,ZA01,100
2133503511,RPL,JSE,35644,ZA02,100
2133004775,NPK,JSE,675,ZA02,100
2133505876,LPEGP1,JSE,60849,ZA04,186
2133506349,STXPRO,JSE,67756,ZA06,112
2133003684,BFS,JSE,8679,ZA03,100
2133504785,ZA086,JSE,53101,ZA04,186
2133004012,MFL,JSE,1833,ZA03,100
2133506532,GFISBQ,JSE,69048,ZA04,108
2133503549,ZA064,JSE,40141,ZA04,107
927666908,ORY,NAM,4770,ZA11,100
2133503404,TWR,JSE,37108,ZA03,100
2133506242,ECSP17,JSE,64752,ZA02,200
2133506570,SGLSBP,JSE,70116,ZA04,108
2133506898,NPNSBE,JSE,71917,ZA04,107
2133003615,MST,JSE,2094,ZA03,100
2133504243,ZA073,JSE,44563,ZA04,107
2133506608,ECSP23,JSE,70375,ZA02,200
2133003470,VUN,JSE,11033,ZA03,100
2133003798,SYGJP,JSE,11457,ZA06,112
2133004744,SAC,JSE,1862,ZA02,100
2133504899,LPEGB7,JSE,49433,ZA04,186
2133500352,AWA,JSE,15158,ZA02,100
2133003508,JSC,JSE,515,ZA03,100
927667022,AGR,NAM,20905,ZA11,100
2133004782,ANG,JSE,61,ZA01,100
2133505410,SYG,JSE,55063,ZA03,100
2133004637,GLD,JSE,6354,ZA06,112
2133504792,IMRP6,JSE,48619,ZA02,200
2133500390,NFSWIX,JSE,21905,ZA06,112
2133004019,VKE,JSE,5990,ZA02,100
2133504174,LBCP11,JSE,44252,ZA04,107
2133506539,LPGME1,JSE,69067,ZA04,107
2133506577,TOPSBV,JSE,70118,ZA04,108
2133506905,SPIB18,JSE,71965,ZA04,107
2133003767,NFSH40,JSE,12753,ZA06,112
2133004568,IMP,JSE,101,ZA02,100
2133504250,ZA074,JSE,44570,ZA03,400
2133506615,NPNIHF,JSE,70926,ZA04,107
2133004751,SUI,JSE,378,ZA02,100
2133004133,OAS,JSE,7755,ZA03,104
2133004606,TRU,JSE,2320,ZA02,100
2133503815,CSG,JSE,9157,ZA03,100
927667029,ENXPLD,NAM,47049,ZA12,100
2133506508,SHG,JSE,67781,ZA03,100
927666884,PDN,NAM,11472,ZA11,100
2133004171,CAT,JSE,668,ZA03,100
2133504799,IMRP3,JSE,48616,ZA02,200
2133505272,NBELN1,JSE,53263,ZA04,107
2133506546,TOPSKB,JSE,69307,ZA04,107
2133505455,ARA,JSE,55617,ZA03,100
2133003736,DST,JSE,375,ZA02,100
2133506584,AVR,JSE,56768,ZA03,100
2133506912,UBNPNM,JSE,72205,ZA04,186
2133004247,SVN,JSE,2071,ZA03,100
2133503929,LBCP10,JSE,42596,ZA04,107
2133004285,BIK,JSE,10332,ZA03,100
927667036,MEP,NAM,58156,ZA12,100
2133506515,MEISBC,JSE,68483,ZA04,107
927666891,FNB,NAM,2504,ZA11,100
2133003705,RDF,JSE,2896,ZA01,100
2133504806,CTK,JSE,48264,ZA03,100
2133506225,HARSTN,JSE,64233,ZA04,107
2133004033,MZR,JSE,10990,ZA03,100
2133505134,S32,JSE,50845,ZA02,100
2133506553,NTCSBA,JSE,69365,ZA04,107
2133502151,TOR,JSE,31483,ZA03,100
2133505462,EMH,JSE,474,ZA03,100
2133004216,AOVP,JSE,444,ZA02,200
2133504371,AFH,JSE,44414,ZA02,100
2133506263,GLPROP,JSE,65063,ZA06,112
2133506736,IMCB22,JSE,71274,ZA02,100
2133506591,TOPSBA,JSE,70530,ZA04,107
